location,area_sqft,bhk,bathrooms,floor,total_floors,age_of_property,parking,lift,actual_price
vashi,300.9,4,2.529589,16.554003,1,2.3,1,0,5321582
nerul,1141.1,2,2,2,19.84628,6.4,1,0,12712839
panvel,1198.5,3,3,13,5,13.8,0,0,17071372
panvel,1278.37,2,2,10,33,2.5,1,1,23439976
nerul,1561.72,4,4,11,37,8.8,1,0,32087001
kharghar,969.73,2.45977,3,26,20,9.3,0,1,15041612
belapur,-73.35,4,1,17,10,3.6,0,1,-1544518
cbd belapur,132.43,2.45977,4,31,12,7.4,0,0,1499590
vashi,1521.97,2,2,5,7,14,0,0,28247653
panvel,371.76,1,2.529589,15,11,2.9,1,0,6564565
panvel,422.34,2.45977,1,21,9,12.8,1,1,5099958
cbd belapur,1029.52,1,1,15,8,17.8,0,1,13348534
kharghar,935.84,1,2.529589,2,15,3.9,0,0,9728892
vashi,927.92,2.45977,2.529589,31,30,10.9,0,1,12446158
vashi,1034,2,4,22,23,11.7,0,0,14308839
nerul,1269.84,3,1,15,29,7,0,1,19313506
airoli,605.85,4,4,16,22,5.5,0,0,8969143
airoli,298.16,2.45977,2,16.554003,27,11.3,0,1,4685160
vashi,-38.62,4,1,23,26,2.1,0,0,-1175957
kharghar,1145.11,2,2,10,30,3.6,1,0,13055627
panvel,1495.55,2,1,23,38,23.2,0,0,16715321
ghansoli,876.03,2.45977,2.529589,13,20,11.9,1,0,11642808
airoli,837.1,2,1,19,16,14.3,1,0,10337295
airoli,638.36,2,4,7,18,9.2,0,1,9706618
ghansoli,901.77,4,2.529589,8,9,0,1,0,13377975
vashi,420.03,2,2.529589,32,34,12.9,1,0,4062210
kharghar,1070.93,3,4,16,27,16.3,0,0,16934270
belapur,981.97,3,2.529589,14,35,9.9,0,0,20769747
ulwe,645.44,3,2.529589,30,19.84628,9.2,0,1,8526136
nerul,758.38,1,1,31,39,2.6,0,0,7336427
nerul,680.03,4,3,19,26,5.6,0,0,9942367
belapur,1051.04,4,2,21,4,11.9,1,0,17975725
airoli,66.76,1,3,32,5,10.2,1,0,1784853
nerul,862.36,3,1,32,12,13,1,0,15910504
ulwe,1101.89,3,2,29,8,6,1,0,11780143
belapur,663.9,3,2,4,29,3.8,1,0,7989708
vashi,1472.19,2,3,5,16,8.1,1,0,17370680
panvel,669.79,1,2.529589,23,9,12.6,1,0,12441454
vashi,582.72,2,2.529589,5,36,11.8,0,0,5830986
vashi,674.74,1,4,27,22,22.8,0,1,7988039
panvel,-1.4,2,3,21,32,7.5,0,0,-18389
ghansoli,1769.92,2,3,30,8,8,0,0,22107136
cbd belapur,810.79,1,1,18,25,9.2,0,0,11977609
kharghar,1688.68,3,4,28,25,11.5,0,1,31235529
kharghar,759.57,2,4,0,6,5.1,0,1,9104075
nerul,676.63,2.45977,4,6,9,4.9,1,0,8668626
cbd belapur,3189.87,4,1,16,22,1.3,1,0,53834313
vashi,3385.31,4,2.529589,20,2,1.3,1,1,43659115
nerul,1115.91,4,2,21,9,17.6,0,0,13505784
belapur,629.26,2,3,6,15,8.4,1,0,9028884
kharghar,5401.59,4,2,15,3,9.2,1,0,69093705
kharghar,1423.03,2,2.529589,2,9,7.4,0,1,20537792
ghansoli,87.95,2,1,7,34,9.4,1,0,718677
vashi,569.3,3,4,24,19.84628,18.9,1,0,10100267
ulwe,941.26,1,2.529589,8,27,12.2,0,0,13301014
panvel,1322.97,2.45977,4,17,17,5.5,0,1,18095015
cbd belapur,121.53,2,1,9,12,14,1,0,1647793
panvel,1006.35,3,2,0,1,2.6,1,1,14043708
airoli,1078.31,3,4,24,19.84628,9.2,1,1,17259664
belapur,1327.99,1,2.529589,25,37,6.6,0,1,25026215
kharghar,607.92,4,3,4,18,24.9,0,1,8323583
nerul,432.13,2.45977,2,22,20,15,1,0,6119348
panvel,653.77,4,1,1,6,7,0,0,9758083
kharghar,583.12,2,2.529589,31,38,2.6,1,0,11281278
vashi,6492.59,2,2.529589,5,20,0.1,0,1,98026838
ghansoli,1327.02,2,4,6,8,27.5,0,0,16109291
cbd belapur,1095.64,3,2,4,19.84628,5.1,1,1,14130868
kharghar,692.89,3,2,5,21,5.2,0,1,11982409
nerul,225.18,1,4,22,20,11.8,1,0,3831463
ghansoli,728.52,2,3,16.554003,28,3.7,0,1,12311783
cbd belapur,1333.01,2,2,13,10,2.8,1,0,13981002
panvel,981.56,1,1,13,32,8.1,1,0,15553894
kharghar,1656.42,2,1,23,20,24.7,1,0,25899575
belapur,514.16,1,4,7,16,17.8,0,0,8174391
ghansoli,818.65,1,1,11,19,10.2,0,1,13502561
nerul,1337.13,2,4,5,16,14,0,0,24286215
kharghar,782.89,2,4,23,24,1.4,1,1,9670521
ghansoli,993.42,3,2,26,33,7.8,1,0,13211469
panvel,940.11,3,2,0,6,7.2,0,0,11369920
vashi,713.48,1,4,29,35,3,0,1,6959537
panvel,634.3,2.45977,2.529589,16.554003,31,12.5,0,0,5743876
cbd belapur,620.72,2,2,22,19.84628,12.4,1,0,10886985
airoli,1056.06,4,2.529589,0,33,11.9,0,0,20958670
vashi,1008.83,4,1,15,7,11.3,0,1,20782802
kharghar,659.46,1,4,21,19.84628,5.9,1,0,9031445
nerul,1390.53,2,3,29,32,1.1,0,1,27826920
vashi,1451.92,2.45977,2,16.554003,4,6.6,0,1,18602675
cbd belapur,1624.86,2.45977,1,20,28,13.3,1,1,25727334
nerul,418.76,3,3,27,27,11.1,1,0,6814215
nerul,1034.56,4,2.529589,23,31,14.4,1,0,18183359
cbd belapur,1192.74,1,2,28,38,20.3,0,1,12513493
vashi,707.4,2,2,1,18,10.7,0,0,6913616
belapur,346.79,3,1,23,8,14,1,0,5699938
airoli,1151.1,4,4,23,25,7,0,1,25019755
panvel,1286.92,2,2,29,18,8.1,0,1,21853968
ghansoli,1832.21,2,3,5,28,15.2,1,0,29608780
nerul,910.66,1,2.529589,24,23,2.1,0,1,14964643
belapur,134.16,2.45977,2,25,32,0.2,0,0,1440385
nerul,464.18,2.45977,3,2,14,4.8,1,0,4110811
cbd belapur,877.45,4,1,11,29,5,0,1,14499917
panvel,1027.06,2,4,25,37,10.2,0,1,13709853
airoli,495.81,2.45977,4,9,20,10.9,0,1,7098612
kharghar,-211.79,4,2.529589,21,4,11.5,0,1,-4499020
panvel,1489.65,2,1,26,3,14.3,1,0,14840349
ulwe,912.22,2.45977,2,33,35,10.5,1,0,14843842
airoli,736.34,2,2,29,24,1.7,0,0,7435056
nerul,771.11,2.45977,4,9,4,2.4,1,0,8320345
ulwe,569.23,3,3,28,30,10.6,1,0,9534200
nerul,907.56,2,2,2,15,15.4,0,1,16181090
kharghar,1127.4,4,3,16.554003,1,1.1,0,1,15112517
kharghar,1298.3,2,3,19,11,13.7,0,0,14601909
ghansoli,525,2,2,30,19.84628,7.3,0,0,7200525
airoli,863.76,2.45977,1,22,15,5.8,1,0,14972812
kharghar,362.99,2.45977,2.529589,8,28,9,0,0,6059624
vashi,994.72,2,2.529589,26,1,14,1,0,9330374
kharghar,545.91,4,3,16.554003,25,5,1,0,11796518
panvel,563.25,3,2.529589,32,13,15.1,0,1,8743140
nerul,444.99,2.45977,4,12,19,1.9,1,0,4513383
panvel,2919.05,2.45977,4,27,18,8.8,1,1,47420366
ghansoli,395.58,2.45977,3,10,30,9.1,0,0,6691435
ghansoli,522.09,4,1,13,13,1.2,1,1,8747720
panvel,648.63,1,3,34,27,10.8,0,0,8930428
airoli,356.38,1,2,24,7,6.7,1,0,3535044
vashi,1179.38,2,2.529589,21,21,17,0,1,15710049
panvel,1215.46,2,4,10,25,14.4,0,0,18271593
airoli,1027.73,1,4,23,4,7.1,0,1,18946353
kharghar,365.2,2,2,7,5,16,0,0,3919455
airoli,699.02,1,1,20,36,8.4,0,1,6678698
airoli,661.37,3,2.529589,22,34,8.8,0,0,13016118
airoli,1875.86,2.45977,1,16.554003,25,3.2,0,1,21513115
cbd belapur,643.98,1,2.529589,11,26,15,0,0,11161969
cbd belapur,1153.39,1,3,4,30,6.9,0,0,21207751
ulwe,1453.69,4,2,28,8,14.9,0,0,30652856
nerul,416.16,2,1,23,37,5.7,0,0,7743841
airoli,853.88,2,3,20,26,3.5,0,0,8416452
panvel,517.43,4,1,30,33,10,0,0,6272748
airoli,1195.38,2.45977,4,1,12,7.8,0,0,13202559
panvel,588.37,3,2,33,19.84628,1.3,0,1,10102471
ghansoli,195.74,1,2.529589,28,24,11.1,1,1,2339495
nerul,205.22,4,4,12,37,8.7,1,1,3040370
ulwe,1348.17,1,3,16,39,11.5,0,0,14350479
airoli,1711.02,3,2,19,17,25.2,1,1,25967260
kharghar,1047.25,2,4,19,18,7.6,1,1,20422314
kharghar,4551.65,3,2,12,22,19.1,0,0,65305014
ghansoli,1163.82,2,2,6,19,12,1,1,19405632
airoli,725.08,2,3,2,30,1.9,0,1,8589356
kharghar,95.68,2.45977,3,5,39,12.6,0,0,899463
kharghar,709.8,2,2,25,11,8.3,0,0,7186796
panvel,1468.35,2,4,27,39,3.7,1,1,19925517
panvel,614.31,3,2.529589,11,33,6.1,1,1,11091795
ulwe,812.85,2,1,16.554003,27,9.7,0,1,9122759
airoli,896.95,3,2.529589,19,38,2.2,0,0,13627499
airoli,822.07,3,3,16,37,8.9,1,0,9832374
ulwe,668.66,2.45977,2.529589,23,37,4.8,0,1,10743122
airoli,438.69,2,4,26,36,6.3,0,1,8055732
nerul,1146.81,2.45977,4,31,19.84628,20.4,0,0,19146063
panvel,1000.57,2,1,31,17,0.9,0,1,15970575
kharghar,1166.58,2,2.529589,9,16,1.5,0,1,15343160
ghansoli,1055.71,1,1,19,9,3.4,1,0,14456867
ghansoli,1344.18,2,2.529589,2,38,13.2,0,1,25683849
panvel,870.99,3,1,24,20,3.4,1,0,16246411
vashi,1126.19,4,2.529589,18,33,16.4,0,0,18817602
ulwe,240.79,2,2,24,25,15.6,0,1,3384933
kharghar,1378.15,2.45977,4,24,21,15.6,0,0,12879613
panvel,88.64,3,3,21,36,4.2,0,0,464432
airoli,1236.53,1,3,28,30,28.4,1,1,17618234
belapur,755.73,4,3,24,5,2,0,0,12860414
airoli,1435.27,4,3,8,20,11.2,1,1,28102785
kharghar,690.86,1,4,6,8,7.7,0,0,7589874
belapur,833.25,2,4,18,11,2.3,1,0,14466756
ulwe,815.25,2,2.529589,16.554003,8,17.1,0,0,11951338
panvel,208.79,1,2,28,8,7.3,0,1,2135846
ulwe,1236.68,3,3,17,30,0.5,1,0,24394507
ulwe,304.58,2,1,23,1,16.8,0,1,5600535
ulwe,1369.82,1,1,5,23,4.8,0,1,14039147
panvel,1199.56,2.45977,3,30,25,1.9,1,0,12810285
panvel,753.68,3,2,16.554003,26,3.5,0,0,12539597
belapur,553.39,2,1,2,25,8.6,0,0,8964340
kharghar,5637.48,4,3,8,21,5.2,0,1,103974316
belapur,950.48,4,1,32,25,3.1,0,1,18331469
ghansoli,1015.28,2.45977,4,9,9,3.7,1,1,10229745
kharghar,1530.03,3,3,5,6,0.4,0,1,27323029
nerul,771.29,4,4,30,19,15.2,1,0,13998842
belapur,1096.31,2,2.529589,1,3,15,0,0,14733383
ulwe,632.73,3,2,12,16,13.2,0,0,8043762
ulwe,128.85,1,2.529589,31,39,0.9,0,1,3008400
nerul,1109.38,2,4,21,29,9.5,1,0,12436033
kharghar,1172.73,2,2,19,29,6.7,1,1,13695396
ghansoli,709.32,2.45977,2.529589,14,21,19.1,1,0,6896106
nerul,1328.37,2,1,2,18,13.7,0,0,14758426
airoli,1220.05,2,1,5,29,2.3,1,0,17264166
ulwe,621.93,2,3,31,10,0.5,0,0,11615881
vashi,1427.58,1,2,6,19,6,1,0,24082437
panvel,855.39,2.45977,1,3,19.84628,0.1,0,0,9859374
nerul,1187.01,2,2.529589,11,29,7.3,1,0,12893194
belapur,1073.25,1,2.529589,1,16,12.4,0,1,13202992
kharghar,1262.43,4,3,16,5,8.1,0,1,25554649
panvel,1336.37,2,2,21,6,8.5,0,0,21282349
kharghar,7398.97,3,2.529589,24,29,2.3,1,1,104748766
nerul,969.72,2.45977,2,27,11,12.6,1,1,10803564
nerul,353.23,3,3,27,25,11,1,0,6000048
airoli,1222.94,1,2.529589,16,37,13.7,0,0,14337806
ghansoli,1862.76,2,2.529589,33,27,5.1,1,0,24876160
ghansoli,806.15,3,2.529589,6,32,9.8,1,0,12605937
kharghar,97.77,2,4,20,29,12.6,0,0,1436310
vashi,1090.25,2,4,16.554003,5,10.9,1,1,16942680
ghansoli,1307.96,1,2,5,6,1.8,0,0,17684818
ghansoli,1380.14,4,2,18,13,9.3,0,0,17512565
cbd belapur,425.33,1,2,22,25,13.2,0,0,5262624
airoli,254.37,4,1,14,28,14.7,0,1,2853090
cbd belapur,1037.41,3,1,0,10,14.1,0,1,15496561
nerul,1692.99,1,4,31,22,2.6,1,0,30049593
vashi,742.09,2.45977,1,1,6,0.5,1,0,8202895
panvel,506.76,4,2.529589,12,19,13.9,1,0,7927125
cbd belapur,895.28,2,3,10,17,4.2,0,1,11460526
cbd belapur,854.93,2,4,32,8,8.5,0,1,16001089
belapur,1277.11,2.45977,1,14,37,16.3,0,1,13782452
airoli,1659.08,2,4,13,13,8.6,0,0,29922360
panvel,1509.74,1,3,9,25,13.5,0,0,15623695
airoli,4128.55,1,2,26,34,4.2,1,1,67081184
belapur,1380.4,4,2.529589,23,19.84628,8.1,1,0,22066760
ghansoli,886.59,2,2.529589,27,11,7.8,1,1,9627599
belapur,1155.45,2,4,1,19.84628,8.2,0,1,19565076
ulwe,1180.62,4,2.529589,14,19.84628,9.9,1,0,18788851
nerul,736.3,1,2,32,11,8.9,1,0,14316510
vashi,331.71,2,2,34,19,17.5,0,1,4361539
nerul,1067.58,2,3,0,1,9,0,1,11800812
panvel,1212.54,2,4,14,24,13,0,0,20587671
nerul,2021.24,3,2.529589,16.554003,17,5.1,0,0,21914819
airoli,91.26,3,2.529589,12,37,9.4,0,0,2370289
panvel,707.32,3,2,4,2,9.3,0,0,9922089
airoli,960.15,2.45977,4,23,16,3.7,0,0,16215457
ulwe,1266.15,2.45977,2,14,22,15.8,0,0,12742206
ulwe,813.8,3,1,26,17,7.9,0,0,12642992
kharghar,2125.1,2.45977,2,16.554003,11,2.8,0,1,19900877
kharghar,1104.19,2,1,29,12,10.5,0,1,11004956
kharghar,919,2,1,9,19,7.6,0,1,8510853
panvel,997.84,2,4,16,38,12.9,0,0,15206168
kharghar,282.09,2.45977,2,23,33,18.6,0,1,4543744
cbd belapur,1100.88,3,3,0,14,17.4,0,1,19146857
belapur,350.05,2.45977,2.529589,32,25,8,1,0,4273359
ulwe,1005.23,1,1,26,4,3.3,0,1,11955031
airoli,1053.95,1,3,13,16,12.7,1,1,13986244
kharghar,1343.62,2,1,20,16,18.4,1,1,20996050
belapur,1134.02,2,2,22,13,17.2,0,1,12172580
kharghar,1546.29,2.45977,3,11,36,8.9,0,1,27437551
ulwe,913.53,2.45977,1,13,14,5.4,0,1,14531832
ulwe,1235.64,2,2,3,7,7.1,0,0,12153214
panvel,789.17,2,2,7,33,7.5,0,0,13839792
vashi,282.05,2.45977,1,8,16,9.8,1,1,3701975
airoli,323.74,1,2.529589,20,32,10,0,1,4197564
panvel,977.14,2.45977,1,24,25,13.1,0,1,10674665
nerul,1708.72,1,4,16.554003,13,6.5,1,1,20429700
kharghar,862.45,2.45977,4,18,10,12.6,1,1,11795952
nerul,4145.06,2,2,16.554003,7,5.7,0,0,56395024
kharghar,1297.84,2,2,28,3,16.1,0,1,18970194
ulwe,2990.07,3,4,16,36,11.1,1,0,55030925
cbd belapur,805.89,1,2,10,2,11.7,0,0,8253669
panvel,954.46,4,2.529589,1,31,12.3,0,0,14746774
nerul,687.43,2,4,27,27,6.9,1,1,9013010
belapur,431.31,3,3,8,39,7.8,0,1,5508989
kharghar,529.94,1,3,24,39,12.5,1,0,7735492
nerul,629.24,3,4,12,14,6.7,1,0,7110691
ulwe,-8.43,4,2,13,31,3.9,0,1,-1202867
airoli,8472.75,2,4,11,13,9.7,1,0,105722413
ghansoli,1196.7,1,3,6,23,4.2,1,0,12048732
ulwe,108.86,1,2,7,30,1.9,1,0,895211
panvel,429.92,2.45977,3,34,31,17.3,0,0,4706233
vashi,82.12,2.45977,3,10,29,12.9,0,0,727600
panvel,847.34,2,4,8,13,5,1,0,11752618
panvel,353.02,2.45977,3,32,19,2,0,1,5451755
ulwe,232.77,1,2,27,2,6.3,1,0,2835586
panvel,1302.7,2,2.529589,31,6,1.9,1,1,15604654
ghansoli,1331.1,2,4,9,32,3.3,0,0,17586979
panvel,650.26,4,1,10,8,6.7,0,1,9440187
kharghar,864.62,2.45977,4,18,26,9.9,0,1,11820390
ulwe,419.8,2,3,4,31,12.2,0,0,4569608
airoli,1054.33,2,3,19,7,7.9,1,0,10871879
nerul,851.25,2.45977,1,34,26,20.9,0,0,13191692
panvel,456.6,2,2.529589,2,39,0.9,0,0,6369746
panvel,455.33,2,2.529589,11,8,5.4,1,0,4417179
vashi,1003.77,1,2.529589,17,22,11.5,1,1,16844616
airoli,878.19,1,4,5,23,13.4,0,0,15260458
cbd belapur,1240.72,4,4,19,26,4.2,0,1,26906861
ghansoli,802.17,4,2.529589,16.554003,39,0.2,0,0,15292698
panvel,1150.27,3,3,16.554003,20,8.3,0,1,13429997
ulwe,933.47,1,2,6,24,8.1,0,0,16971693
ulwe,840.86,3,4,10,18,13.8,1,1,11618478
vashi,54.86,1,2.529589,22,2,6,1,1,975419
airoli,1048.76,2,2.529589,30,20,1.2,0,0,15423200
kharghar,1062.81,2,1,34,2,7.1,1,0,15371966
kharghar,696.69,1,4,11,5,7.4,0,0,9388518
nerul,823.57,4,3,5,9,9.9,0,1,16599303
airoli,892.36,2,2.529589,9,8,0.7,0,1,14608074
nerul,114.57,4,2.529589,24,36,0.7,1,1,1716959
kharghar,929,2,2,15,6,7.1,1,1,11979195
kharghar,1175.71,2,3,20,39,5,0,0,12102117
kharghar,1842.52,3,3,18,18,11.8,0,0,27719758
belapur,228.45,2.45977,4,14,6,6.4,1,1,2826294
belapur,92.22,2,1,25,29,19.4,0,0,112277
ulwe,988.29,2,3,2,7,4.4,1,0,17223595
ghansoli,552.36,1,2.529589,5,22,7.8,0,0,8678291
belapur,372.58,2.45977,4,5,22,12.1,0,1,3470891
nerul,713.49,1,1,24,27,3.1,0,1,9117343
airoli,1192.73,4,2,16.554003,31,13.8,1,0,12275997
kharghar,3920.17,2,2,9,38,17,1,1,57847570
ghansoli,1115.26,4,2.529589,22,30,6.6,1,0,16480448
panvel,521.26,3,2,5,8,3.5,1,0,8701633
kharghar,138.93,2,1,15,27,2.7,0,1,1820950
airoli,480.96,1,4,18,39,7.9,0,1,8665278
airoli,536.22,2,1,18,6,0.5,1,1,6224682
nerul,882.65,2,1,4,1,6,1,1,11531369
airoli,1007.51,2.45977,2,8,23,7.5,1,0,17987754
ghansoli,1258.89,2.45977,1,15,19.84628,5.4,0,0,22644323
kharghar,1073.93,1,2.529589,7,15,11.8,0,1,12348233
vashi,57.87,3,2.529589,12,12,19.3,0,1,-464885
kharghar,1244.57,3,4,30,9,4.2,0,0,18459795
panvel,858.25,3,4,28,21,6.5,0,0,17654989
kharghar,3031.53,1,4,34,7,6.8,0,0,52413390
ghansoli,1134.11,3,2,12,23,9.2,0,0,18605602
cbd belapur,1060.72,2.45977,2,12,34,18,1,0,16039115
airoli,1759.72,3,2,7,9,0.2,0,1,19625559
airoli,1336.78,2,2,27,21,11.3,0,1,16149120
airoli,491.64,1,1,12,16,11.1,0,0,8962423
vashi,938.46,1,4,3,32,16,1,1,17197580
panvel,1519.85,2.45977,2.529589,27,14,17.3,1,1,18804405
ulwe,1038.63,2,1,15,23,9.9,0,0,10320009
kharghar,1320.64,2.45977,2.529589,8,13,1.4,0,0,15110282
ulwe,777.94,2.45977,2,29,8,8.3,0,0,11460667
nerul,583.49,2.45977,1,29,34,16.1,1,0,6600229
ulwe,443.52,4,4,8,29,18.5,1,0,6221211
airoli,-112.07,2,4,31,31,10.1,0,0,-1527282
panvel,874.76,2,2,12,6,5.9,0,0,9795872
cbd belapur,5198.83,2,3,16,13,11,0,1,58572703
ulwe,1331.04,1,3,31,8,10.8,0,1,15490301
cbd belapur,771.12,1,4,11,25,13.9,1,1,14703647
nerul,594.1,2.45977,4,8,6,3.8,1,1,10356747
belapur,1198.78,2,1,17,15,7.4,0,0,14601160
cbd belapur,612.7,4,2.529589,9,38,21,0,0,12819062
panvel,718.26,4,1,16.554003,16,3.4,1,0,13531794
kharghar,929.04,2,4,17,35,18.2,0,0,13429300
panvel,831.96,2,4,3,28,13.9,0,0,11802558
vashi,1062.25,2,2.529589,4,36,18.6,0,0,19489923
nerul,647.7,4,3,11,2,11.2,1,0,8966977
ulwe,714.22,2,2,32,29,1.5,1,1,10383975
airoli,1463.77,3,2.529589,16.554003,5,14.3,1,0,21395030
ghansoli,4460.27,4,2.529589,16,19,10.4,0,1,52946640
panvel,854.91,2,1,9,25,9.4,1,1,13602445
nerul,1108.24,2,3,34,26,5,0,0,12417738
kharghar,2867.19,4,2.529589,6,14,14.7,0,1,46962086
panvel,742.56,2,4,9,16,1.1,0,0,12117017
belapur,391.68,3,1,15,14,11.5,0,1,5622023
airoli,861.99,3,2.529589,32,15,7.2,0,0,9218454
nerul,859.41,2,1,18,8,2.2,1,0,14829561
vashi,864.67,3,2,21,17,13.8,1,1,12060645
ghansoli,763.72,2.45977,3,24,2,18.2,1,0,11991412
kharghar,1545.65,2,2.529589,26,31,21.6,1,0,27779643
airoli,318.25,4,1,16,26,8.9,0,0,5750475
cbd belapur,1590.52,4,3,23,23,6.8,0,0,32766683
vashi,989.07,3,3,17,23,0.4,0,0,10644399
cbd belapur,1485.44,1,4,4,4,3.8,1,1,13646639
kharghar,857.56,2,3,10,24,7.7,0,0,15933556
cbd belapur,478.22,2,2,25,13,16.6,1,1,6214148
kharghar,861.24,3,2,23,10,0.1,0,0,18127195
kharghar,-60.29,2,3,22,38,8.4,1,1,-926764
airoli,1142.13,2.45977,3,10,32,6.3,0,1,20264278
vashi,1101.53,1,1,17,19,12.2,0,0,15133803
cbd belapur,488.66,3,2.529589,16.554003,22,14.8,0,1,5272891
nerul,1185.8,1,2,23,23,9,1,0,18035996
vashi,850.46,2,3,34,17,13.3,1,0,16048242
airoli,206.27,4,3,10,9,8.3,0,0,2538459
airoli,1085.35,2,3,29,9,2.6,1,1,16484569
panvel,452.07,3,1,19,20,8.1,0,0,5712246
kharghar,1107.59,1,4,19,25,3.2,0,1,12823716
nerul,945.08,4,2.529589,28,18,7,1,0,11455589
ulwe,537.2,2.45977,4,26,10,12,0,0,5890064
kharghar,668.07,4,2.529589,3,15,22.9,0,0,12174785
kharghar,1198.22,3,2.529589,31,17,7,1,1,13715419
belapur,472.55,1,4,21,5,13.5,0,0,5700527
panvel,589.94,2,2.529589,9,8,5.5,1,0,6195682
vashi,648.72,2,4,2,26,7.3,0,1,11067330
ghansoli,999.57,1,3,16.554003,29,3.2,1,1,17234469
vashi,1140.73,2,2.529589,16,5,5.1,0,0,12010489
kharghar,965.02,2.45977,2.529589,23,36,14.6,1,0,13189802
nerul,551.84,1,2.529589,9,9,19,0,0,8032443
airoli,557.9,2.45977,3,11,1,26.4,0,1,7159620
nerul,1227.09,2.45977,4,23,16,0.4,0,0,20204392
airoli,841.04,4,4,20,5,4.6,1,1,16739291
kharghar,1113.18,1,2,19,33,10.1,0,1,16041285
nerul,1073.07,1,4,7,7,1.4,0,1,17730034
kharghar,1375.11,2,2.529589,14,23,3.6,0,0,16272747
nerul,1066.55,3,4,27,1,8.2,1,1,19341337
panvel,858.56,3,4,34,6,2,0,0,13655228
kharghar,248.29,4,4,29,9,8.6,1,1,6114694
nerul,1433.31,3,2,23,4,2.5,0,0,22404782
ghansoli,12.01,3,4,9,17,7.4,0,0,226992
